participant_id,gender,age,expertise,colorblind,bad_vision
1,male,20,0,0,0
2,male,20,1,0,0
3,male,30,0,1,0
4,male,20,0,0,0
5,male,20,1,0,0
6,male,20,0,0,0
7,male,20,1,0,0
8,female,20,1,0,0
9,male,20,0,0,0
10,female,20,0,0,0
11,female,20,0,0,0
12,male,20,0,0,0
13,male,30,0,0,0
14,male,20,0,0,0
15,male,10,1,0,0
16,male,30,1,0,0
17,male,20,1,0,0
18,male,30,0,0,0
19,male,20,0,0,0
20,female,30,0,0,0
21,male,20,0,0,0
22,male,20,1,0,0
23,female,20,0,0,0
24,female,20,0,0,0
25,male,30,0,0,0
26,female,30,0,0,0
27,other,70,0,1,1
28,male,20,0,0,0
29,female,20,0,0,0
30,female,20,1,1,1
31,male,30,1,0,0
32,male,40,1,0,0
